TIME,Oy,Ox,Dy,Dx,Q,CITY
38664.0,118.004542,24.524949,117.701749,24.52855,1,0
38699.0,117.765739,24.486059,118.127026,24.476638,1,1
38702.0,117.68237,24.506508,118.15328,24.516234,1,1
38754.0,117.687053,24.512867,118.039604,24.549898,1,1
38833.0,118.149872,24.490686,117.627243,24.522661,1,0
38875.0,118.048451,24.569429,117.659334,24.511427,1,0
38883.0,117.638393,24.524631,118.122251,24.468636,1,1
39000.0,118.152323,24.542164,117.692256,24.499557,1,0
39000.0,117.683265,24.493806,118.152323,24.542164,1,1
39000.0,117.663502,24.503632,118.314452,24.604597,1,1
39128.0,118.086343,24.447572,117.658294,24.490172,1,0
39179.0,118.112463,24.541745,117.698265,24.512128,1,0
39194.0,118.097601,24.517075,117.698262,24.512127,1,0
39286.0,117.68414,24.495608,118.152323,24.542164,1,1
39390.0,118.104449,24.529751,117.673747,24.522388,1,0
39436.0,118.086343,24.447572,117.674546,24.496382,1,0
39551.0,118.107404,24.519475,117.684727,24.508585,1,0
39591.0,118.146399,24.49287,117.670747,24.509165,1,0
39600.0,117.681582,24.517895,118.142244,24.53721,1,1
39600.0,117.748571,24.502382,118.111902,24.585129,1,1
39600.0,118.151882,24.710014,117.643575,24.505501,1,0
39600.0,118.152735,24.541456,117.713766,24.531976,1,0
39617.0,118.092556,24.437366,117.638066,24.505287,1,0
39619.0,118.179828,24.507357,117.686816,24.498319,1,0
39684.0,118.091837,24.465766,117.716704,24.504119,1,0
39697.0,118.04259,24.453418,117.67599,24.502156,1,0
39754.0,118.112447,24.541733,117.693721,24.497123,1,0
39813.0,118.124166,24.538605,117.664807,24.50064,1,0
39857.0,118.185659,24.470491,117.695478,24.506284,1,0
39929.0,117.62855,24.51446,118.143879,24.506618,1,1
40094.0,117.668635,24.508717,118.12851,24.425709,1,1
40120.0,118.139938,24.473061,117.65377,24.474377,1,0
40145.0,118.139938,24.473061,117.65377,24.474377,1,0
40156.0,118.129544,24.544995,117.718989,24.513687,1,0
40194.0,117.692068,24.518406,118.081639,24.452833,1,1
40200.0,117.61933,24.51657,118.11703,24.503036,1,1
40216.0,118.172745,24.44445,117.638066,24.505287,2,0
40315.0,117.994543,24.535741,117.670262,24.492751,1,0
40381.0,117.657686,24.490684,118.152735,24.541456,1,1
40449.0,118.046553,24.561119,117.680287,24.485922,1,0
40461.0,118.004542,24.524949,117.658851,24.516702,1,0
40468.0,118.09978,24.505522,117.681535,24.499417,1,0
40505.0,117.639105,24.522976,118.109864,24.591659,1,1
40658.0,118.085985,24.457298,117.664749,24.513654,2,0
40659.0,117.682993,24.497838,118.039887,24.448151,1,1
40736.0,118.080969,24.480216,117.631841,24.514665,1,0
40782.0,117.993286,24.525845,117.66468,24.503255,1,0
40895.0,117.644393,24.519539,118.177188,24.469756,1,1
40900.0,118.142244,24.53721,117.71597,24.533487,1,0
40908.0,117.716116,24.516062,118.127616,24.486824,1,1
41025.0,118.125074,24.433124,117.674169,24.494963,1,0
41150.0,117.6702,24.498137,118.056469,24.586359,1,1
41186.0,117.657269,24.505396,118.120148,24.514841,1,1
41246.0,118.023915,24.531049,117.674393,24.510671,1,0
41289.0,118.038459,24.463498,117.674504,24.50292,1,0
41290.0,117.683865,24.50333,118.159459,24.492455,1,1
41400.0,117.667481,24.507064,118.136131,24.531815,1,1
41400.0,117.638066,24.505287,118.14463,24.490839,1,1
41400.0,117.686533,24.495065,118.160773,24.504495,1,1
41400.0,118.120363,24.432028,117.638066,24.505287,4,0
41400.0,117.656812,24.506401,118.103287,24.468708,1,1
41400.0,118.154028,24.488165,117.674006,24.507801,1,0
41400.0,117.677569,24.518545,118.097297,24.561243,1,1
41450.0,117.653033,24.53129,118.086343,24.447572,1,1
41507.0,117.73438,24.498028,118.01609,24.486493,1,1
41526.0,118.114987,24.48754,117.687374,24.50812,1,0
41615.0,117.728881,24.49654,118.159609,24.493531,1,1
41617.0,118.126016,24.48481,117.65952,24.5372,1,0
41701.0,117.643074,24.515895,118.151915,24.487749,1,1
41717.0,118.125806,24.479642,117.653096,24.500688,1,0
41718.0,117.724001,24.496375,118.142244,24.53721,1,1
41811.0,117.628251,24.51067,118.171847,24.537605,1,1
41847.0,118.134149,24.510021,117.692064,24.518406,1,0
42000.0,117.664912,24.521666,118.152765,24.541404,1,1
42000.0,117.68046,24.508493,118.136128,24.531814,2,1
42000.0,117.658675,24.507074,118.152323,24.542164,1,1
42013.0,118.098977,24.455621,117.697924,24.523264,1,0
42050.0,117.636192,24.52052,118.092436,24.461964,1,1
42232.0,117.748571,24.502382,118.152224,24.505097,1,1
42236.0,118.142764,24.513166,117.631099,24.508689,1,0
42444.0,117.679251,24.491473,118.130271,24.499072,1,1
42476.0,118.136986,24.52495,117.703151,24.505596,1,0
42477.0,117.662285,24.507806,118.030787,24.484049,1,1
42578.0,117.698265,24.512128,118.064738,24.562905,1,1
42600.0,118.125037,24.505305,117.750063,24.500561,1,0
42600.0,117.687368,24.503556,118.12132,24.43313,1,1
42600.0,117.750093,24.50911,118.102581,24.486994,1,1
42681.0,117.707722,24.514566,118.165305,24.507163,1,1
42697.0,117.680797,24.522346,118.110019,24.522981,1,1
42717.0,118.138332,24.49317,117.687305,24.497589,1,0
42731.0,118.12764,24.4823,117.692349,24.497285,1,0
42865.0,118.140897,24.517622,117.707252,24.501454,1,0
42973.0,117.662763,24.502538,118.117957,24.527116,1,1
43151.0,118.136128,24.531814,117.658291,24.490173,1,0
43200.0,118.163317,24.470734,117.656129,24.505397,1,0
43200.0,117.679418,24.489576,118.158674,24.503823,1,1
43200.0,117.634094,24.535698,118.155771,24.522386,1,1
43200.0,117.987565,24.485138,117.638393,24.524631,1,0
43200.0,118.142244,24.53721,117.659893,24.539534,1,0
43200.0,117.731695,24.517683,118.147155,24.638312,1,1
43200.0,117.679418,24.489576,118.164295,24.511931,1,1
